time_stamp,sec_since_session_start,data,screen_position,__class__
2013-12-10 19:10:42,119,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1119.0, 477.0)",ReleaseNode
2013-12-10 19:10:43,120,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active], Charge=Negative]","(1169.0, 551.0)",SelectConnector
2013-12-10 19:10:45,122,"[Connection: Id=0fb67b9e-2669-4fa5-9196-92f257e269c6, Source=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active], Destination=[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Green]]","(1354.0, 746.0)",AddConnection
2013-12-10 19:10:45,122,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active], Charge=Negative]","(1526.0, 1036.0)",ReleaseConnector
2013-12-10 19:10:47,124,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active], Charge=Negative]","(1169.0, 572.0)",SelectConnector
2013-12-10 19:10:48,125,"[Connection: Id=36396ea1-fc5f-438b-84f9-f0455492ef7f, Source=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active], Destination=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]]","(1384.0, 536.0)",AddConnection
2013-12-10 19:10:48,125,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active], Charge=Negative]","(1683.0, 690.0)",ReleaseConnector
2013-12-10 19:10:50,127,,"(941.0, 776.0)",EndTouch
2013-12-10 19:10:50,127,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1151.0, 529.0)",SelectNode
2013-12-10 19:10:50,127,,"(1151.0, 529.0)",StartTouch
2013-12-10 19:10:52,129,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1056.0, 401.0)",ReleaseNode
2013-12-10 19:10:52,129,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1029.0, 338.0)",SelectNode
2013-12-10 19:10:52,129,,"(1029.0, 338.0)",StartTouch
2013-12-10 19:10:53,130,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1077.0, 339.0)",ReleaseNode
2013-12-10 19:10:54,131,"[ConnectorControl: Id=dcb64873-abf6-42f0-adfb-b8456871871b, Node=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue], Charge=Negative]","(773.0, 951.0)",SelectConnector
2013-12-10 19:10:55,132,"[ConnectorControl: Id=dcb64873-abf6-42f0-adfb-b8456871871b, Node=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue], Charge=Negative]","(1046.0, 221.0)",ReleaseConnector
2013-12-10 19:10:56,133,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue]","(806.0, 957.0)",SelectNode
2013-12-10 19:10:56,133,,"(806.0, 957.0)",StartTouch
2013-12-10 19:10:58,135,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue]","(755.0, 522.0)",ReleaseNode
2013-12-10 19:10:58,135,"[ConnectorControl: Id=dcb64873-abf6-42f0-adfb-b8456871871b, Node=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue], Charge=Negative]","(748.0, 614.0)",SelectConnector
2013-12-10 19:11:00,137,"[Connection: Id=981136d6-c0fa-41e7-9658-9eccb49efa78, Source=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue], Destination=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]]","(955.0, 391.0)",AddConnection
2013-12-10 19:11:00,137,"[ConnectorControl: Id=dcb64873-abf6-42f0-adfb-b8456871871b, Node=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue], Charge=Negative]","(1122.0, 186.0)",ReleaseConnector
2013-12-10 19:11:01,138,"[ConnectorControl: Id=96cf4a0b-a3d5-4e52-a5aa-c3e579b50a49, Node=[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Green], Charge=Negative]","(1695.0, 998.0)",SelectConnector
2013-12-10 19:11:04,141,"[Connection: Id=82b717ea-3025-44d7-9341-375bfe745bdc, Source=[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Green], Destination=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]]","(1374.0, 637.0)",AddConnection
2013-12-10 19:11:04,141,"[ConnectorControl: Id=96cf4a0b-a3d5-4e52-a5aa-c3e579b50a49, Node=[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Green], Charge=Negative]","(1133.0, 184.0)",ReleaseConnector
2013-12-10 19:11:05,142,"[ConnectorControl: Id=23300822-c1f5-4b8f-955c-7e6514650b83, Node=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red], Charge=Negative]","(1657.0, 490.0)",SelectConnector
2013-12-10 19:11:07,144,"[ConnectorControl: Id=23300822-c1f5-4b8f-955c-7e6514650b83, Node=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red], Charge=Negative]","(1107.0, 184.0)",ReleaseConnector
2013-12-10 19:11:08,145,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1218.0, 245.0)",SelectNode
2013-12-10 19:11:08,145,,"(1218.0, 245.0)",StartTouch
2013-12-10 19:11:09,146,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1164.0, 427.0)",ReleaseNode
2013-12-10 19:11:11,148,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Green]","(1624.0, 1021.0)",SelectNode
2013-12-10 19:11:11,148,,"(1624.0, 1021.0)",StartTouch
2013-12-10 19:11:14,151,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Green]","(1318.0, 1013.0)",ReleaseNode
2013-12-10 19:11:15,152,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1616.0, 474.0)",SelectNode
2013-12-10 19:11:15,152,,"(1616.0, 474.0)",StartTouch
2013-12-10 19:11:15,152,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(2007.0, 456.0)",ReleaseNode
2013-12-10 19:11:16,153,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1235.0, 416.0)",SelectNode
2013-12-10 19:11:16,153,,"(1235.0, 416.0)",StartTouch
2013-12-10 19:11:18,155,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(369.0, 796.0)",ReleaseNode
2013-12-10 19:11:19,156,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(388.0, 849.0)",SelectNode
2013-12-10 19:11:19,156,,"(388.0, 849.0)",StartTouch
